HAUPTNR,TITEL,JAHR,URL,NAMIDENT,AUSST_DATUM,AUSST_ORT,AUSST_TITEL
6005456,"Landschaft mit zwei kleinen Bäumen",,http://server1102.cs.technik.fhnw.ch/bilder/040460E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6005617,Selbstbildnis,1917,http://server1102.cs.technik.fhnw.ch/bilder/007821E2.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6005678,"Selbstbildnis (mit Federhut und Pfeife)",1875,http://server1102.cs.technik.fhnw.ch/bilder/021912E2.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6006218,"Bildnis Mathias Morhardt",1911,http://server1102.cs.technik.fhnw.ch/bilder/040450E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6006841,"Die Andacht",1881,http://server1102.cs.technik.fhnw.ch/bilder/14528E2.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6006592,"Kuh auf der Weide",1876,http://server1102.cs.technik.fhnw.ch/bilder/000352E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6007853,"Schreitendes Weib",1910,http://server1102.cs.technik.fhnw.ch/bilder/001890E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6007010,Einmütigkeit,1913,http://server1102.cs.technik.fhnw.ch/bilder/040456E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6005802,"Der Netzflicker",1883,http://server1102.cs.technik.fhnw.ch/bilder/043562E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6006391,"Bildnis Régina Morgeron",1911,http://server1102.cs.technik.fhnw.ch/bilder/008863E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6004733,"Die Aare bei Solothurn",,http://server1102.cs.technik.fhnw.ch/bilder/007822E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6007859,"Die Empfindung",1911,http://server1102.cs.technik.fhnw.ch/bilder/011047E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6005741,"Der Mäher",1878,http://server1102.cs.technik.fhnw.ch/bilder/007820E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6006468,"Bildnis Mme Louis-Amédée Baudit",1912,http://server1102.cs.technik.fhnw.ch/bilder/048987E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
